"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-ER-003849","Adult-Use Entity Registration - License","TRC-BH LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-R-000951","Marihuana Retailer - License","Nirvana Center Traverse City","223 Lake AVE 1st Floor, Traverse City MI 49684","03/12/2024","Active",,,
"AU-P-000403","Marihuana Processor - License","Wonka Holdings, LLC","1400 Keystone AVE, Lansing MI 48911","03/22/2024","Active",,,
"AU-R-000958","Marihuana Retailer - License","House of Dank TC","514 Munson AVE, Traverse City MI 49686","03/22/2024","Active","Home Delivery - Approved",,
"AU-R-000937","Marihuana Retailer - License","100 Leafs","327 Capital AVE S.W., Battle Creek MI 49015","03/22/2024","Active",,,
"AU-P-000395","Marihuana Processor - License","Mindright Cannabis Company","51525 Industrial DR, NEW BALTIMORE MI 48047","06/13/2024","Active",,,
"AU-R-000956","Marihuana Retailer - License","Cloud Cannabis Company","356 Munson AVE, Traverse City MI 49686","06/22/2024","Active",,,
"AU-P-000410","Marihuana Processor - License","M.T. of Michigan LLC","26067 Groesbeck HWY Suite B, Warren MI 48089","03/21/2024","Active",,,
"AU-R-000934","Marihuana Retailer - License","The Noggin Shop","52324 Duncan AVE, Hubbell MI 49934","03/21/2024","Active",,,
"AU-G-C-001151","Class C Marihuana Grower - License","Native Leaf, LLC","116 Enterprise DR, Reading MI 49274","03/20/2024","Active",,,
"AU-G-C-001164","Class C Marihuana Grower - License","Native Leaf, LLC","116 Enterprise DR, Reading MI 49274","03/20/2024","Active",,,
"AU-P-000408","Marihuana Processor - License","Voltano, LLC","15403 Sharon RD Suite E, Chesaning MI 48616","01/31/2024","Active",,,
"AU-ER-003840","Adult-Use Entity Registration - License","Royal Highness PC7, LLC",,"03/20/2025","Active - Main Prequalified",,,
"AU-R-000916","Marihuana Retailer - License","JARS Cannabis","2301 N Michigan AVE Suite B, Saginaw MI 48602","03/20/2024","Active","Home Delivery - Approved",,
"AU-R-000890","Marihuana Retailer - License","JARS Cannabis","11400 Eight Mile RD Suite A, Detroit MI 48205","08/07/2023","Active",,,
"AU-G-B-000247","Class B Marihuana Grower - License","Green Skies - Hazel Park LLC","926 E 10 Mile RD, Hazel Park MI 48030","03/20/2024","Active",,,
"AU-P-000398","Marihuana Processor - License","Green Skies - Hazel Park LLC","926 E 10 Mile RD, Hazel Park MI 48030","03/20/2024","Active",,,
"AU-R-000939","Marihuana Retailer - License","Pure Options - South Cedar","5031 S Cedar ST Suite C, Lansing MI 48910","03/18/2024","Active",,,
"AU-R-000931","Marihuana Retailer - License","Great Lakes Exotics Cannabis Co.","820 W Main ST, Gaylord MI 49735","01/13/2024","Active",,,
"AU-R-000930","Marihuana Retailer - License","Great Lakes Exotics Cannabis Co.","2625 S Otsego AVE, Gaylord MI 49735","01/13/2024","Active",,,
"AU-R-000943","Marihuana Retailer - License","Quality Roots Berkley","3916 West 11 Mile RD, Berkley MI 48072","03/17/2024","Active","Home Delivery - Approved.",,
"AU-ER-003801","Adult-Use Entity Registration - License","Bloominati Farms LLC",,"03/17/2025","Active - Main Prequalified",,,
"AU-R-000936","Marihuana Retailer - License","KING OF BUDZ PROVISIONING","10457 GRATIOT AVE Suite A, DETROIT MI 48213","03/17/2024","Active",,,
"AU-R-000940","Marihuana Retailer - License","Cloud Cannabis 28th Street","928 28th ST SE, Grand Rapids MI 49508","03/17/2024","Active",,,
"AU-G-C-001111","Class C Marihuana Grower - License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001112","Class C Marihuana Grower - License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001113","Class C Marihuana Grower - License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001115","Class C Marihuana Grower - License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001117","Class C Marihuana Grower - License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-R-000952","Marihuana Retailer - License","PUFF TC","1226 S. Garfield AVE, Traverse City MI 49686","03/16/2024","Active",,,
"AU-ER-003820","Adult-Use Entity Registration - License","ZIP Cannabis LLC",,"03/16/2025","Active - Main Prequalified",,,
"AU-ER-003819","Adult-Use Entity Registration - License","Joint Ventures MI, Inc.",,"03/16/2025","Active - Main Prequalified",,,
"AU-ER-003809","Adult-Use Entity Registration - License","Green Skies - Hazel Park LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-A-000137","Class A Marihuana Grower - License","The Noggin Shop","52324 Duncan AVE, HUBBELL MI 49934","03/16/2024","Active",,,
"AU-R-000891","Marihuana Retailer - License","JARS Cannabis","7461 West 8 Mile RD, Detroit MI 48221","03/15/2024","Active",,,
"AU-G-C-001147","Class C Marihuana Grower - License","Fresh Coast Cannabis Group, LLC","4955 Lansing RD Bldg A, Charlotte MI 48813","12/14/2023","Active",,,
"AU-ER-003854","Adult-Use Entity Registration - License","Sunrise Forest, LLC",,"03/15/2025","Active - Main Prequalified",,,
"AU-ER-003812","Adult-Use Entity Registration - License","Green Mountain Monroe, LLC",,"03/15/2025","Active - Main Prequalified",,,
"AU-ER-003784","Adult-Use Entity Registration - License","VJAS1LLC",,"03/15/2025","Active - Main Prequalified",,,
"AU-G-C-001133","Class C Marihuana Grower - License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","10/26/2023","Active",,,
"AU-ER-003783","Adult-Use Entity Registration - License","Vassar Team LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-ER-003826","Adult-Use Entity Registration - License","Oasis Wellness Center of Battle Creek, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-P-000404","Marihuana Processor - License","NOXX","330 Ann NW ST Suite B, Grand Rapids MI 49504","08/23/2023","Active",,,
"AU-ER-003802","Adult-Use Entity Registration - License","The New Reserve, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-ER-003813","Adult-Use Entity Registration - License","DOC Extracts, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-G-C-001140","Class C Marihuana Grower - License","Insane Gorilla Cultivation","12420 S. Straits HWY, Wolverine MI 49799","03/14/2024","Active",,,
"AU-MEO-000176","Marihuana Event Organizer - License","HOD Event Pros LLC",,"03/13/2024","Active",,,
"AU-SP-000248","Sole Proprietor Registration - License","CELIA NASSER",,"03/13/2025","Active - Main Prequalified",,,
"AU-P-000401","Marihuana Processor - License","Myndset Alchemy, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/13/2024","Active",,,
"AU-G-C-001130","Class C Marihuana Grower - License","Myndset Herbs, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/10/2024","Active",,,
"AU-R-000933","Marihuana Retailer - License","Zella Cannabis, LLC","1105 W Chisholm St, Alpena MI 49707","03/10/2024","Active",,,
"AU-G-C-001129","Class C Marihuana Grower - License","Myndset Herbs, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/10/2024","Active",,,
"AU-R-000927","Marihuana Retailer - License","JAR Capital, LLC","14930 Laplaisance RD Unit 121/122, Monroe MI 48161","03/10/2024","Active",,,
"AU-G-C-001146","Class C Marihuana Grower - License","Traverse City Cannabis Company","924 Hastings ST, TRAVERSE CITY MI 49686","01/21/2024","Active",,,
"AU-G-C-001110","Class C Marihuana Grower - License","BETTER MADE CANNABIS","4160 COMMERCE DR, FLUSHING MI 48433","03/10/2024","Active",,,
"AU-G-C-001109","Class C Marihuana Grower - License","BETTER MADE CANNABIS","4160 COMMERCE DR, FLUSHING MI 48433","03/10/2024","Active",,,
"AU-ST-000139","Marihuana Secure Transporter - License","West Michigan Secured Transport, Inc.","1601 College Ave, SE, Grand Rapids MI 49507","03/12/2024","Active",,,
"AU-ER-003822","Adult-Use Entity Registration - License","Michigan Pure Farms LLC",,"03/10/2025","Active - Main Prequalified",,,
"AU-R-000938","Marihuana Retailer - License","Rush Cannabis","751 W Michigan AVE, Saline MI 48176","03/10/2024","Active",,,
"AU-ER-003756","Adult-Use Entity Registration - License","D'Mongo's LLC",,"03/10/2025","Active - Main Prequalified",,,
"AU-G-C-001128","Class C Marihuana Grower - License","Myndset Herbs, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/10/2024","Active",,,
"AU-R-000935","Marihuana Retailer - License","263 Cannabis Co","286 Burke ST Bldg, River Rouge MI 48218","03/10/2024","Active",,,
"AU-ER-003721","Adult-Use Entity Registration - License","HAMR CO, LLC",,"03/09/2025","Active - Main Prequalified",,,
"AU-ER-003722","Adult-Use Entity Registration - License","Custom Cannabis Company, LLC",,"03/09/2025","Active - Main Prequalified",,,
"AU-R-000923","Marihuana Retailer - License","Ascend Cannabis Group","503 Century Ave SW, Grand Rapids MI 49503","11/27/2023","Active","Home Delivery - Approved",,
"AU-G-C-001103","Class C Marihuana Grower - License","Green J & J Holding, LLC","3801 Crooked Creek DR, Vassar MI 48768","03/08/2024","Active",,,
"AU-R-000924","Marihuana Retailer - License","The Herbalist","15514 W. Warren AVE, Detroit MI 48228","03/07/2024","Active","Home Delivery - Approved",,
"AU-ER-003719","Adult-Use Entity Registration - License","Xhale Cannabis Company, LLC",,"03/07/2025","Active - Main Prequalified",,,
"AU-ER-003828","Adult-Use Entity Registration - License","Nirvana Lowell, LLC",,"03/07/2025","Active - Main Prequalified",,,
"AU-ER-003823","Adult-Use Entity Registration - License","M5 Services, LLC",,"03/07/2025","Active - Main Prequalified",,,
"AU-ER-003806","Adult-Use Entity Registration - License","Two Birds Solutions, LLC",,"03/07/2025","Active - Main Prequalified",,,
"AU-P-000406","Marihuana Processor - License","Northern Healing Investments LLC","27050 Gloede DR, Warren MI 48088","03/07/2024","Active",,,
"AU-ER-003762","Adult-Use Entity Registration - License","HOD International Holdings LLC",,"03/06/2025","Active - Main Prequalified",,,
"AU-ER-003789","Adult-Use Entity Registration - License","444 Commercial Consulting LLC",,"03/06/2025","Active - Main Prequalified",,,
"AU-P-000387","Marihuana Processor - License","Prime Tree Farm, LLC","55880 72nd AVE, Lawrence MI 49064","07/07/2023","Active",,,
"AU-R-000929","Marihuana Retailer - License","Beach Fire Cannabis Company","6038 West Turtle Creek DR Suite B, Williamsburg MI 49690","03/03/2024","Active",,,
"AU-R-000900","Marihuana Retailer - License","Gage Cannabis Company","24729 Sherwood AVE, Center Line MI 48015","06/04/2024","Active",,,
"AU-ER-003795","Adult-Use Entity Registration - License","Elevated Bay City, LLC",,"03/03/2025","Active - Main Prequalified",,,
"AU-ER-003799","Adult-Use Entity Registration - License","Tama Ventures, LLC",,"03/02/2025","Active - Main Prequalified",,,
"AU-ER-003785","Adult-Use Entity Registration - License","Today's Health Club LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-P-000394","Marihuana Processor - License","KD Processing, LLC","950 E 10 Mile Road, Hazel Park MI 48030","03/01/2024","Active",,,
"AU-ER-003800","Adult-Use Entity Registration - License","100 Shafer Processing LLC",,"02/28/2025","Active - Main Prequalified",,,
"AU-MEO-000173","Marihuana Event Organizer - License","Crave Cannabis","7031 Orchard Lake RD Suite 300, West Bloomfield MI 48322","02/24/2024","Active",,,
"AU-ER-003770","Adult-Use Entity Registration - License","AHJH, LLC",,"02/28/2025","Active - Main Prequalified",,,
"AU-ER-003796","Adult-Use Entity Registration - License","Delta 1 LLC",,"02/28/2025","Active - Main Prequalified",,,
"AU-P-000381","Marihuana Processor - License","Green Hub Life","1023 Eden WAY, Chesaning MI 48616","02/24/2024","Active",,,
"AU-P-000399","Marihuana Processor - License","Pure Cannabis Outlet","15311 S. Dixie HWY, Monroe MI 48161","02/10/2024","Active",,,
"AU-ER-003768","Adult-Use Entity Registration - License","Arjuna LLC",,"02/24/2025","Active - Main Prequalified",,,
"AU-ER-003786","Adult-Use Entity Registration - License","Smiitty's, Inc.",,"02/24/2025","Active - Main Prequalified",,,
"AU-ER-003737","Adult-Use Entity Registration - License","Pure Van Dyke, LLC",,"02/24/2025","Active - Main Prequalified",,,
"AU-ER-003733","Adult-Use Entity Registration - License","Fifth Wheel Ventures, Inc.",,"02/24/2025","Active - Main Prequalified",,,
"AU-R-000932","Marihuana Retailer - License","Acme Alternative Health, LLC","2074 M-137, Interlochen MI 49643","02/19/2024","Active",,,
"AU-MEO-000174","Marihuana Event Organizer - License","GLOBAL GROWTH INDUSTRIES, LLC",,"02/23/2024","Active",,,
"AU-R-000921","Marihuana Retailer - License","Southwest Meds","6237 Federal ST, Detroit MI 48209","02/19/2024","Active",,,
"AU-ER-003792","Adult-Use Entity Registration - License","Terrapin Harvest Circle LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-P-000389","Marihuana Processor - License","VML Processing, LLC","32450 Dequindre RD, Warren MI 48092","02/23/2024","Active",,,
"AU-ER-003769","Adult-Use Entity Registration - License","Canna Square LLC",,"02/22/2025","Active - Main Prequalified",,,
"AU-R-000920","Marihuana Retailer - License","Depot Provisionary Center LLC","107 Covert ST, Leslie MI 49251","02/22/2024","Active",,,
"AU-G-C-001073","Class C Marihuana Grower - License","The Great Vine, LLC","17498 Mount Elliott RD, Detroit MI 48212","02/21/2024","Active",,,
"AU-ER-003421","Adult-Use Entity Registration - License","MC5 FARMS, LLC",,"02/21/2025","Active - Main Prequalified",,,
"AU-ER-003767","Adult-Use Entity Registration - License","California Michigan Cannabis Company, LLC",,"02/21/2025","Active - Main Prequalified",,,
"AU-G-C-001121","Class C Marihuana Grower - License","Quality Cannabis Farms, LLC","47200 48th ST, Lawrence MI 49064","02/21/2024","Active",,,
"AU-ER-003713","Adult-Use Entity Registration - License","N.Coast Services",,"02/21/2025","Active - Main Prequalified",,,
"AU-G-C-001100","Class C Marihuana Grower - License","JBB Cultivating, LLC","295 Root ST, Oakley MI 48649","02/21/2024","Active",,,
"AU-G-C-001092","Class C Marihuana Grower - License","Planted Provisioning","111 W Mt Hope AVE D-26, Lansing MI 48910","01/18/2024","Active",,,
"AU-ER-003772","Adult-Use Entity Registration - License","KSD1, LLC",,"02/16/2025","Active - Main Prequalified",,,
"AU-ER-003724","Adult-Use Entity Registration - License","renaissance cultivators",,"02/16/2025","Active - Main Prequalified",,,
"AU-G-B-000243","Class B Marihuana Grower - License","M.O.A.B. Genetix LLC","1305 Kitson AVE, Sturgis MI 49091","02/16/2024","Active",,,
"AU-G-C-001108","Class C Marihuana Grower - License","Westfield Group, LLC","13300 Foley ST, Detroit MI 48227","02/16/2024","Active",,,
"AU-ER-003778","Adult-Use Entity Registration - License","Koala Hub, LLC",,"02/16/2025","Active - Main Prequalified",,,
"AU-ER-003779","Adult-Use Entity Registration - License","Samurai Cannabis, LLC",,"02/16/2025","Active - Main Prequalified",,,
"AU-P-000397","Marihuana Processor - License","Boone Labs Inc","107 East Alexander ST, Buchanan MI 49107","02/15/2024","Active",,,
"AU-ER-003775","Adult-Use Entity Registration - License","MASK Enterprise, LLC",,"02/15/2025","Active - Main Prequalified",,,
"AU-P-000393","Marihuana Processor - License","MCB Distributors","24605 John R Rd., Hazel Park MI 48030","02/28/2024","Active",,,
"AU-ER-003763","Adult-Use Entity Registration - License","Parc Holdings, LLC",,"02/15/2025","Active - Main Prequalified",,,
"AU-P-000383","Marihuana Processor - License","Pure Leaf, LLC","11530 Stephens RD Suite G, Warren MI 48089","02/15/2024","Active",,,
"AU-ER-003765","Adult-Use Entity Registration - License","NATIVE THUMB FARMS LLC",,"02/15/2025","Active - Main Prequalified",,,
"AU-R-000918","Marihuana Retailer - License","Happy Day Romeo","100 McLean DR, Romeo MI 48065","02/14/2024","Active",,,
"AU-G-C-001081","Class C Marihuana Grower - License","Epic Farms LLC","9270 N. Saginaw RD, Mount Morris MI 48458","02/14/2024","Active",,,
"AU-P-000392","Marihuana Processor - License","OI Processing LLC","3090 Wright ST Suite B, Marquette MI 49855","02/13/2024","Active",,,
"AU-G-C-001106","Class C Marihuana Grower - License","Jade Collection of Morenci","9081 Skyline Industrial DR, Morenci MI 49256","11/16/2023","Active",,,
"AU-ER-003764","Adult-Use Entity Registration - License","CRG II LLC",,"02/13/2025","Active - Main Prequalified",,,
"AU-ER-003771","Adult-Use Entity Registration - License","CJP Holdings MI LLC",,"02/13/2025","Active - Main Prequalified",,,
"AU-G-C-001105","Class C Marihuana Grower - License","Tamtamali, LLC","4345 Waterman RD, Vassar MI 48768","02/13/2024","Active",,,
"AU-G-A-000134","Class A Marihuana Grower - License","GL Hydro Pharm LLC","6068 South U.S 131 HWY, Mancelona MI 49659","02/13/2024","Active",,,
"AU-ER-003754","Adult-Use Entity Registration - License","Yahtahey 45 Inc.",,"02/10/2025","Active - Main Prequalified",,,
"AU-G-A-000136","Class A Marihuana Grower - License","World Selections","220 Watts RD, Jackson MI 49201","02/10/2024","Active",,,
"AU-R-000922","Marihuana Retailer - License","Pure Cannabis Outlet","15311 S. Dixie HWY, Monroe MI 48161","02/10/2024","Active",,,
"AU-G-C-001075","Class C Marihuana Grower - License","Morenci Brothers 4, LLC","520 Hammontree DR Suite A, Morenci MI 49256","02/10/2024","Active",,,
"AU-P-000391","Marihuana Processor - License","Monroe Processing LLC","14930 LAPLAISANCE RD Unit 131 & 132, Monroe MI 48161","02/09/2024","Active",,,
"AU-ER-003753","Adult-Use Entity Registration - License","Warren Distro LLC",,"02/09/2025","Active - Main Prequalified",,,
"AU-P-000390","Marihuana Processor - License","Templar Collective, LLC","24155 Schoenherr RD, Warren MI 48089","02/09/2024","Active",,,
"AU-ER-003715","Adult-Use Entity Registration - License","Kinship Riverview, LLC",,"02/09/2025","Active - Main Prequalified",,,
"AU-ER-003757","Adult-Use Entity Registration - License","TGB Farms, LLC",,"02/08/2025","Active - Main Prequalified",,,
"AU-G-B-000245","Class B Marihuana Grower - License","Zayna Enterprises LLC","1455 Industrial DR, Owosso MI 48867","02/08/2024","Active",,,
"AU-G-C-001104","Class C Marihuana Grower - License","Treetown Cannabis","834 Railroad ST, Ypsilanti MI 48197","01/07/2024","Active",,,
"AU-P-000378","Marihuana Processor - License","Michigan Aspire II, LLC","21535 Hoover RD, Warren MI 48089","10/05/2023","Active",,,
"AU-ER-003739","Adult-Use Entity Registration - License","Walker Wade Labs LLC",,"02/07/2025","Active - Main Prequalified",,,
"AU-G-B-000240","Class B Marihuana Grower - License","Meadow Nursery, Inc.","16942 Woodlane DR, Nunica MI 49448","02/07/2024","Active",,,
"AU-G-C-001101","Class C Marihuana Grower - License","BC Bud Company","3436 Patterson RD, Bay City MI 48706","02/07/2024","Active",,,
"AU-R-000899","Marihuana Retailer - License","PLUSH COMPANIES","1005 S MAPLE ISLAND RD, MUSKEGON MI 49442","02/06/2024","Active",,,
"AU-P-000372","Marihuana Processor - License","CANNATECH 360, LLC","520 Hammontree DR Suite B, Morenci MI 49256","02/06/2024","Active",,,
"AU-G-C-001074","Class C Marihuana Grower - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/10/2023","Active",,,
"AU-P-000374","Marihuana Processor - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/10/2023","Active",,,
"AU-G-B-000244","Class B Marihuana Grower - License","Terp Heads Cannabis","4412 Ace Commercial CT, Bay City MI 48706","02/06/2024","Active",,,
"AU-ST-000138","Marihuana Secure Transporter - License","Secured Travels LLC","701 E South Street Suite 201, Lansing MI 48910","02/06/2024","Active",,,
"AU-ER-003672","Adult-Use Entity Registration - License","Eden East LLC",,"02/03/2025","Active - Main Prequalified",,,
"AU-G-C-001123","Class C Marihuana Grower - License","Diamond Cut Farms 2, LLC","3712 Patterson RD, Bay City MI 48706","01/21/2024","Active",,,
"AU-G-B-000246","Class B Marihuana Grower - License","McMaster Enterprises, LLC","1600 North Grand River Ave AVE, Lansing MI 48906","02/03/2024","Active",,,
"AU-ER-003758","Adult-Use Entity Registration - License","SIMPLE AG PENTWATER LLC",,"02/03/2025","Active - Main Prequalified",,,
"AU-G-C-001083","Class C Marihuana Grower - License","Havi Consortium LLC","33842 88th AVE, Lawton MI 49065","02/03/2024","Active",,,
"AU-ER-003691","Adult-Use Entity Registration - License","Great Lakes Logistical Experts, LLC",,"02/03/2025","Active - Main Prequalified",,,
"AU-ER-003761","Adult-Use Entity Registration - License","13540 Woodward Inc",,"02/02/2025","Active - Main Prequalified",,,
"AU-ER-003755","Adult-Use Entity Registration - License","FA Ventures, LLC",,"02/02/2025","Active - Main Prequalified",,,
"AU-G-C-001114","Class C Marihuana Grower - License","Epic Gardens, LLC","19181 Glendale ST, Detroit MI 48223","02/02/2024","Active",,,
"AU-ER-003736","Adult-Use Entity Registration - License","West Branch Provisioning Center, LLC",,"02/02/2025","Active - Main Prequalified",,,
"AU-G-C-001107","Class C Marihuana Grower - License","Cherry Industries, LLC","6387 East Nevada ST, Detroit MI 48234","07/27/2023","Active",,,
"AU-G-C-001116","Class C Marihuana Grower - License","Epic Gardens, LLC","19181 Glendale ST, Detroit MI 48223","02/01/2024","Active",,,
"AU-G-C-001099","Class C Marihuana Grower - License","Plush Companies","6755 E. APPLE AVE, MUSKEGON MI 49442","02/01/2024","Active",,,
"AU-G-C-001098","Class C Marihuana Grower - License","Plush Companies","6755 E. APPLE AVE, MUSKEGON MI 49442","02/01/2024","Active",,,
"AU-R-000908","Marihuana Retailer - License","Cookies Detroit","6030 E Eight Mile RD, Detroit MI 48234","06/04/2023","Active",,,
"AU-G-C-001097","Class C Marihuana Grower - License","Plush Companies","6755 E. APPLE AVE, MUSKEGON MI 49442","02/01/2024","Active",,,
"AU-ER-003720","Adult-Use Entity Registration - License","Foliage Cannabis Company, LLC",,"02/01/2025","Active - Main Prequalified",,,
"AU-R-000915","Marihuana Retailer - License","High Profile Cannabis Shop","20327 Groesbeck HWY, Detroit MI 48205","02/01/2024","Active",,,
"AU-G-C-001093","Class C Marihuana Grower - License","Amber Waves Cannabis Co.","325 Hammontree DR, Morenci MI 49256","08/31/2023","Active",,,
"AU-P-000376","Marihuana Processor - License","Canapa Valley Farms Processing, LLC","700 E Huron AVE Bldg 4, Vassar MI 48768","01/31/2024","Active",,,
"AU-ER-003706","Adult-Use Entity Registration - License","Caymus Group, Inc",,"01/30/2025","Active - Main Prequalified",,,
"AU-ER-003759","Adult-Use Entity Registration - License","Exotic Nurseries Jackson, LLC",,"01/30/2025","Active - Main Prequalified",,,
