"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"ERG-004667","Entity Prequalification","Trailblazer Industries, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004670","Entity Prequalification","LJA Holdings IV, LLC",,"01/10/2025","Active - Main Applicant",,,
"PC-000843","Provisioning Center - License","LE Retailer, LLC","5216 S. Westnedge AVE, Portage MI 49002","01/06/2024","Active",,,
"GR-C-001307","Class C Grower – License","Viridian Labs, LLC","21445 Hoover RD Suite 210, Warren MI 48089","10/11/2023","Active",,,
"GR-C-001309","Class C Grower – License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, warren MI 48089","04/02/2023","Active",,,
"GR-C-001310","Class C Grower – License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, warren MI 48089","04/02/2023","Active",,,
"PR-000324","Processor - License","Wilder Pharms","4401 Ace Commercial CT, Bay City MI 48706","03/11/2024","Active",,,
"ERG-004668","Entity Prequalification","HanKo  Holdings, LLC",,"01/04/2025","Active - Main Applicant",,,
"ERG-004669","Entity Prequalification","GSIN CAPITAL CORP",,"01/04/2025","Active - Main Applicant",,,
"ERG-004672","Entity Prequalification","Atomic Labs LLC",,"01/04/2025","Active - Main Applicant",,,
"SC-000040","Safety Compliance - License","Delta 9 Testing Laboratories, Inc.","815 Wildt ST, Ann Arbor MI 48103","01/04/2024","Active",,,
"PC-000836","Provisioning Center - License","Hasheesh","548 S State ST, Big Rapids MI 49307","12/27/2023","Active",,,
"GR-A-000238","Class A Grower – License","Strato","154 Evergreen ST, Republic MI 49879","12/22/2023","Active",,,
"ERG-004666","Entity Prequalification","LAJA Investments 2, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-001308","Class C Grower – License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, warren MI 48089","04/02/2023","Active",,,
"PC-000826","Provisioning Center - License","High Profile Cannabis Shop","20327 Groesbeck HWY, Detroit MI 48205","12/20/2023","Active",,,
"ERG-004661","Entity Prequalification","Roseville CC, LLC",,"12/19/2024","Active - Main Applicant",,,
"PC-000837","Provisioning Center - License","Token Dispo","1901 S. Dort HWY, Flint MI 48503","12/16/2023","Active",,,
"PR-000323","Processor - License","710 Labs","1721 W Pleasant ST, River Rouge MI 48218","11/07/2023","Active",,,
"PC-000802","Provisioning Center - License","Pincanna","123 E South ST, Kalamazoo MI 49007","12/23/2023","Active",,,
"PR-000322","Processor - License","SSDLG, LLC","14750 LaPlaisance RD Suite H-240, Monroe MI 48161","12/14/2023","Active",,,
"PC-000842","Provisioning Center - License","Quality Roots, Inc.","1700 Tull CT, Waterford MI 48327","12/18/2023","Active",,,
"ERG-004647","Entity Prequalification","Crave Ann Arbor, LLC",,"12/13/2024","Active - Main Applicant",,,
"ERG-004650","Entity Prequalification","Enterprise CC, LLC",,"12/13/2024","Active - Main Applicant",,,
"ERG-004659","Entity Prequalification","Sandds Meridian, LLC",,"12/13/2024","Active - Main Applicant",,,
"PC-000838","Provisioning Center - License","Bud Brothers Provisioning","411 Lafayette AVE, Bay City MI 48708","11/17/2023","Active",,,
"PC-000841","Provisioning Center - License","LIV Cannabis","3769 28th St. SE, Grand Rapids MI 49512","12/09/2023","Active","Approved",,
"PR-000317","Processor - License","MPM-R XV, LLC","624 Brady ST Suite B, Chesaning MI 48616","12/09/2023","Active",,,
"SC-000037","Safety Compliance - License","Lab Link Testing LLC","711 West 13 Mile RD Suite 900, Madison Heights MI 48071","12/09/2023","Active",,,
"ERG-004658","Entity Prequalification","MASK Enterprise, LLC",,"12/08/2024","Active - Main Applicant",,,
"GR-A-000239","Class A Grower – License","Select Tops LLC","407 W. Center ST, Omer MI 48749","12/08/2023","Active",,,
"ERG-004655","Entity Prequalification","Morenci Brothers 4, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004654","Entity Prequalification","Remedi, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004653","Entity Prequalification","Kalm, LLC",,"12/08/2024","Active - Main Applicant",,,
"ERG-004632","Entity Prequalification","Main Property Holdings, LLC",,"12/08/2024","Active - Main Applicant",,,
"PC-000835","Provisioning Center - License","Nature's Alternative","15837 Mack AVE, Detroit MI 48224","12/07/2023","Active",,,
"GR-C-001304","Class C Grower – License","Beyond Green, LLC","23881 Dequindre RD, Hazel Park MI 48030","12/07/2023","Active",,,
"SC-000036","Safety Compliance - License","Michigan Institute of Toxicology P.C.","3903 Fortune BLVD, Saginaw MI 48603","12/07/2023","Active",,,
"ERG-004618","Entity Prequalification","222 Biz 2 LLC",,"12/05/2024","Active - Main Applicant",,,
"ERG-004621","Entity Prequalification","Strange Labs LLC",,"12/01/2024","Active - Main Applicant",,,
"PR-000321","Processor - License","Boone Labs, Inc.","107 E. Alexander ST, Buchanan MI 49107","11/30/2023","Active",,,
"PR-000318","Processor - License","Lucky Buds II, LLC","3650 Patterson RD Unit 2, Bay City MI 48706","11/30/2023","Active",,,
"ERG-004634","Entity Prequalification","Cannatech 360, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004620","Entity Prequalification","Healing Strains LLC",,"11/28/2024","Active - Main Applicant",,,
"ST-000071","Secure Transporter - License","Motas Transportation","1451 E 9 Mile RD, Hazel Park MI 48030","11/22/2023","Active",,,
"GR-B-000039","Class B Grower – License","Genetix Cannabis","23364 Amber AVE, Warren MI 48089","11/22/2023","Active",,,
"PR-000315","Processor - License","HiCloud LLC","7655 E M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001301","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001300","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001299","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001298","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001297","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001296","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001295","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001294","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001293","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001292","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"GR-C-001291","Class C Grower – License","Common Citizen","624 Brady ST Suite A, Chesaning MI 48616","02/04/2024","Active",,,
"PC-000823","Provisioning Center - License","Levels Provisioning of Niles","1221 S 11th ST Suite 105, Niles MI 49120","11/17/2023","Active",,,
"ERG-004628","Entity Prequalification","Level Up Holdings V, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004627","Entity Prequalification","Level Up Holdings III, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004626","Entity Prequalification","Level Up Holdings II, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004630","Entity Prequalification","Central Connections LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004629","Entity Prequalification","Central Grow and Process, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004640","Entity Prequalification","CT Farms, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004631","Entity Prequalification","HP Lab Group LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004625","Entity Prequalification","ABC 123 Business Ventures II, LLC",,"11/15/2024","Active - Main Applicant",,,
"ERG-004598","Entity Prequalification","Cannaco Investments, LLC",,"11/15/2024","Active - Main Applicant",,,
"PC-000834","Provisioning Center - License","High Haven Retail, LLC","1205 Washington AVE Suite B, Bay City MI 48708","11/10/2023","Active",,,
"PC-000828","Provisioning Center - License","Gage Cannabis Company","118 N Columbus ST, Jackson MI 49201","03/17/2024","Active",,,
"PR-000320","Processor - License","Wildfire Investments, LLC","2502 S. Dort HWY, Flint MI 48507","11/10/2023","Active",,,
"PR-000311","Processor - License","Rooted and Zooted Processing, LLC","4955 Lansing RD Bldg B, Charlotte MI 48813","11/10/2023","Active",,,
"GR-C-001288","Class C Grower – License","710 Labs","1721 W Pleasant ST, River Rouge MI 48218","11/07/2023","Active",,,
"ERG-004614","Entity Prequalification","Alternative Gardens HP LLC",,"11/03/2024","Active - Main Applicant",,,
"ERG-004624","Entity Prequalification","Royal Oak Treatment, LLC",,"11/03/2024","Active - Main Applicant",,,
"GR-B-000038","Class B Grower – License","Tip Top Crop LLC","22817 Dequindre RD, Hazel Park MI 48030","11/03/2023","Active",,,
"PC-000831","Provisioning Center - License","Da Cut Flint","2478 S. Dort HWY, Flint MI 48507","11/03/2023","Active","Approved",,
"ERG-004615","Entity Prequalification","QR 6 LLC",,"11/02/2024","Active - Main Applicant",,,
"ERG-004609","Entity Prequalification","Michigan Flowers Limited Liability Company",,"11/02/2024","Active - Main Applicant",,,
"ERG-004582","Entity Prequalification","CT Dreams, LLC",,"11/02/2024","Active - Main Applicant",,,
"ERG-004575","Entity Prequalification","Nuggets Company, LLC",,"10/24/2024","Active - Main Applicant",,,
"PR-000319","Processor - License","Glass Jar Kitchen","14731 S. Telegraph RD, Monroe Twp. MI 48161","10/21/2023","Active",,,
"GR-C-001290","Class C Grower – License","High Minded Harvest","618 N Centerville RD Suite 2, Sturgis MI 49091","08/18/2023","Active",,,
"PC-000829","Provisioning Center - License","BBJF, LLC","6181 W Warren AVE, Detroit MI 48210","10/20/2023","Active",,,
"PR-000314","Processor - License","GrassRootsMI, LLC","26352 Lawrence AVE, Center Line MI 48015","02/24/2024","Active",,,
"ERG-004594","Entity Prequalification","Starseed Grow INC.",,"10/19/2024","Active - Main Applicant",,,
"ERG-004578","Entity Prequalification","CANNECTED CONSULTING VENTURES, LLC",,"10/19/2024","Active - Main Applicant",,,
"ERG-004606","Entity Prequalification","HEVO3 LLC",,"10/19/2024","Active - Main Applicant",,,
"ERG-004600","Entity Prequalification","Michigan Pipe Dreams LLC",,"10/19/2024","Active - Main Applicant",,,
"GR-C-001280","Class C Grower – License","Viridian Labs, LLC","21445 Hoover RD Suite 210, Warren MI 48089","10/11/2023","Active",,,
"PR-000316","Processor - License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2023","Active - Late Renewal",,,
"ERG-004603","Entity Prequalification","Blake Group Investments, LLC",,"10/12/2024","Active - Main Applicant",,,
"ERG-004604","Entity Prequalification","Nh Ventures 4, LLC",,"10/12/2024","Active - Main Applicant",,,
"ERG-004605","Entity Prequalification","Bud Bundy Farms, LLC",,"10/12/2024","Active - Main Applicant",,,
"ERG-004589","Entity Prequalification","Great Lakes Facilities, LLC",,"10/10/2024","Active - Main Applicant",,,
"GR-C-001279","Class C Grower – License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","04/02/2023","Active",,,
"GR-C-001289","Class C Grower – License","Level Up Investments II, LLC","21001 Groesbeck HWY Suite D, Warren MI 48089","01/04/2024","Active",,,
"PC-000825","Provisioning Center - License","Hikers Cannabis","6295 East 36th Street, White Cloud MI 49349","10/07/2023","Active",,,
"PC-000822","Provisioning Center - License","North Coast Provisions Sault Ste. Marie","2972 W. 8th ST, Sault Ste. Marie MI 49783","10/07/2023","Active","Approved",,
"PC-000799","Provisioning Center - License","Zoo Zoo Pros, LLC","6220 E. 8 Mile RD, Detroit MI 48234","10/07/2023","Active",,,
"GR-C-001287","Class C Grower – License","Driven Grow, LLC","10925 Bruun TRL, Frederic MI 49733","03/21/2024","Active",,,
"ERG-004579","Entity Prequalification","Hazen Gardens LLC",,"10/04/2024","Active - Main Applicant",,,
"GR-C-001259","Class C Grower – License","Alchemy Wellness, LLC","163 Premier DR Suite B, Orion Township MI 48359","06/24/2023","Closed",,,
"ERG-004581","Entity Prequalification","Optimal Group, LLC",,"09/29/2024","Active - Main Applicant",,,
"PC-000821","Provisioning Center - License","North Coast Provisions at Arborside","1818 Packard ST, Ann Arbor MI 48104","09/27/2023","Active","Approved",,
"ERG-004592","Entity Prequalification","PB2020, LLC",,"09/27/2024","Active - Main Applicant",,,
"ERG-004596","Entity Prequalification","BUD LLC",,"09/27/2024","Active - Main Applicant",,,
"ERG-004577","Entity Prequalification","The Herbal Connection, LLC",,"09/26/2024","Active - Main Applicant",,,
"ERG-004593","Entity Prequalification","District Dort, LLC",,"09/26/2024","Active - Main Applicant",,,
"ERG-004595","Entity Prequalification","WLJ Ventures, LLC",,"09/26/2024","Active - Main Applicant",,,
"PC-000824","Provisioning Center - License","PSTIIIZY","859 SW Capital AVE, Battle Creek MI 49015","06/09/2023","Active",,"Public Documents Available",
"GR-C-001278","Class C Grower – License","Craft Hydroponic, LLC.","901 Wayne ST Suite 22, Niles MI 49120","09/23/2023","Active",,,
"GR-C-001285","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"GR-C-001284","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"GR-C-001283","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"GR-C-001286","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"ERG-004588","Entity Prequalification","Monroe Processing LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004591","Entity Prequalification","QR Berkley LLC",,"09/21/2024","Active - Main Applicant",,,
"GR-C-001282","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"PC-000776","Provisioning Center - License","The Herbalist","15514 W Warren AVE, Detroit MI 48228","09/20/2023","Active","Approved",,
"GR-C-001128","Class C Grower – License","Butter","1110 Tower ST, Flint MI 48503","04/18/2024","Active",,,
"GR-C-001127","Class C Grower – License","Butter","1110 Tower ST, Flint MI 48503","04/18/2024","Active",,,
"GR-C-001126","Class C Grower – License","Butter","1110 Tower ST, Flint MI 48503","04/18/2024","Active",,,
"GR-C-001125","Class C Grower – License","Butter","1110 Tower ST, Flint MI 48503","04/18/2024","Active",,,
"ERG-004583","Entity Prequalification","Hempnotize Kitchen, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004516","Entity Prequalification","Fort St Industries, LLC",,"09/13/2024","Active - Main Applicant",,,
"ERG-004557","Entity Prequalification","REB Holdings LLC",,"09/12/2024","Active - Main Applicant",,,
"PC-000818","Provisioning Center - License","Ox Tail - Lincoln Park Inc.","1005 John A Papalas DR, Lincoln Park MI 48146","09/08/2023","Active","Approved",,
"ERG-004558","Entity Prequalification","Canna World LLC.",,"09/07/2024","Active - Main Applicant",,,
"PC-000816","Provisioning Center - License","Weisberger Ventures II, LLC","1032 S Main ST, Adrian MI 49221","03/21/2024","Active",,,
"ERG-004502","Entity Prequalification","SJTC Enterprises, LLC",,"09/01/2024","Active - Main Applicant",,,
"ST-000068","Secure Transporter - License","Kurativ, LLC","17853 Donnell Lake ST, Vandalia MI 49095","09/01/2023","Closed",,,
"PC-000812","Provisioning Center - License","Plush Companies","1005 S Maple Island RD, Muskegon MI 49442","09/01/2023","Active",,,
"PR-000312","Processor - License","Candid Labs LLC","2010 South Washington AVE, Lansing MI 48910","05/26/2023","Active",,,
"GR-C-001182","Class C Grower – License","SDG Ventures, LLC","9408 N Saginaw RD, Mt Morris MI 48458","08/26/2023","Active",,,
"GR-C-001198","Class C Grower – License","Greenways Provisioning Center","4566 M-30, Beaverton MI 48612","06/13/2023","Active",,,
"PC-000809","Provisioning Center - License","Sozo Cannabis","420 E 10 Mile RD Suite A, Pleasant Ridge MI 48069","12/19/2023","Active","Approved",,
"ERG-004573","Entity Prequalification","Classic Analytical Laboratories, LLC",,"08/23/2024","Active - Main Applicant",,,
"ERG-004576","Entity Prequalification","Starfell, LLC",,"08/23/2024","Active - Main Applicant",,,
"GR-C-001274","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-001273","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-001272","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-001271","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-001270","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-001269","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"PR-000309","Processor - License","DISTRO 10 INC","21445 Hoover RD Suite 310, Warren MI 48089","08/18/2023","Active",,,
"ERG-004571","Entity Prequalification","JARS Ventures 8 LLC",,"08/18/2024","Active - Main Applicant",,,
"ERG-004569","Entity Prequalification","JARS Ventures 7 LLC",,"08/18/2024","Active - Main Applicant",,,
"ERG-004567","Entity Prequalification","JARS Ventures 6 LLC",,"08/18/2024","Active - Main Applicant",,,
"GR-C-001268","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/18/2023","Active",,,
"GR-C-000654","Class C Grower – License","24266 Mound","24226 Mound RD, Warren MI 48091","03/21/2023","Active - Late Renewal",,,
"GR-C-001264","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001263","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001267","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001266","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001265","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001262","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"ERG-004560","Entity Prequalification","To Infinity and Beyond!, LLC",,"08/17/2024","Active - Main Applicant",,,
"GR-C-001197","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001261","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"GR-C-001260","Class C Grower – License","RQMOGP2, LLC","2022 S. 176TH AVE, Hesperia MI 49421","08/17/2023","Active",,,
"PR-000310","Processor - License","For the Love of Charlie!","101 Enterprise DR, Vassar MI 48768","08/15/2023","Active",,,
"GR-C-001240","Class C Grower – License","Absolute Royale, Inc.","801 Industrial Park DR, Mt. Pleasant MI 48858","08/12/2023","Active",,,
"PC-000813","Provisioning Center - License","The Dank Warehouse","606 3rd Street, Bay City MI 48708","08/12/2023","Closed",,,
"GR-C-001227","Class C Grower – License","Wise Tree Farms","8751 N. Wise Rd, Clare MI 48617","08/12/2023","Active",,,
"ERG-004556","Entity Prequalification","Kenzy Holdings LLC",,"08/10/2024","Active - Main Applicant",,,
"ERG-004554","Entity Prequalification","Pure Remedy LLC",,"08/10/2024","Active - Main Applicant",,,
"ERG-004431","Entity Prequalification","HAIDER GROUP, LLC",,"08/10/2024","Active - Main Applicant",,,
"ERG-004555","Entity Prequalification","Golden Herbal Leaf, Inc.",,"08/10/2024","Active - Main Applicant",,,
"GR-C-001253","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001252","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001251","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001250","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001249","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001248","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001247","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"PR-000306","Processor - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","05/27/2023","Active",,,
"GR-C-001258","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001257","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001256","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001255","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001254","Class C Grower – License","Pink Dragon, LLC","16113 16 Mile RD, LeRoy MI 49655","07/12/2023","Active",,,
"GR-C-001025","Class C Grower – License","Uncle J's Joints","4503 Oakman BLVD, Detroit MI 48204","08/10/2023","Active",,,
"GR-C-001162","Class C Grower – License","Driven Grow, LLC","10925 Bruun TRL, Frederic MI 49733","03/21/2024","Active",,,
"GR-C-001170","Class C Grower – License","Sugar Leaf Properties I LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"GR-A-000236","Class A Grower – License","Diamond Cut Farms 2, LLC","3712 Patterson RD, Bay City MI 48706","08/04/2023","Active",,,
"PC-000817","Provisioning Center - License","The Dude Abides Provisioning Center","1394 S. Centerville RD, Sturgis MI 49091","01/08/2024","Active",,,
"GR-C-001228","Class C Grower – License","Sugar Leaf Properties I, LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
"GR-C-001164","Class C Grower – License","Sugar Leaf Properties I LLC","51906 Burlington RD, Marcellus MI 49067","06/22/2023","Active",,,
